EffectiveDate,IncludedQuantity,MeterCategory,MeterId,MeterName,MeterRates_0,MeterRates_100,MeterRates_1000,MeterRates_1000000,MeterRates_1000000000,MeterRates_10235,MeterRates_1024,MeterRates_10240,MeterRates_10240.0,MeterRates_102400,MeterRates_1024000,MeterRates_1048576,MeterRates_1048576.0,MeterRates_1140,MeterRates_1500,MeterRates_153595,MeterRates_153600,MeterRates_153600.0,MeterRates_16500,MeterRates_1766500,MeterRates_1980000,MeterRates_20,MeterRates_20000,MeterRates_200000,MeterRates_20480,MeterRates_2487.5,MeterRates_25,MeterRates_250,MeterRates_25600,MeterRates_266500,MeterRates_2999900,MeterRates_499000,MeterRates_499900,MeterRates_5,MeterRates_5.0,MeterRates_500,MeterRates_51195,MeterRates_511995,MeterRates_5120,MeterRates_51200,MeterRates_51200.0,MeterRates_512000,MeterRates_512000.0,MeterRates_5120000,MeterRates_5242880,MeterRates_5242880.0,MeterRates_5999900,MeterRates_6500,MeterRates_66500,MeterRates_87.5,MeterRates_90,MeterRates_95,MeterRates_950000,MeterRates_99000,MeterRates_995,MeterRates_9950000,MeterRates_9980000,MeterRates_99900,MeterRates_9999900,MeterRegion,MeterSubCategory,MeterTags_0,Unit
2015-09-01T00:00:00Z,0,Visual Studio,c240c688-f075-4691-99f2-7cdaef88e4b1,Test Manager Users,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,Users
2014-12-01T00:00:00Z,0,Virtual Machines,96642a69-8e14-42ac-a2d1-74643d08e05c,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,JA East,A2 VM,None,Hours
2014-08-01T00:00:00Z,2048,Networking,3c5324ad-eb8c-44c6-af9a-6741ae75fc90,Data Transfer Out at 500 Mbps (GB),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Zone 3,ExpressRoute (IXP),None,GB
2015-05-01T00:00:00Z,0,Data Services,a9f53a13-21fc-45c6-aade-c42e2accf259,DWU,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US West,SQL Data Warehouse,None,Hours
2015-07-01T00:00:00Z,0,Data Services,1664dedf-c176-413e-813c-c5489d027272,Premium P4 Secondary Active Geo Database Days,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,BR South,SQL Database,None,Days
2014-01-01T00:00:00Z,0,Virtual Machines,a238f814-bbf4-4d79-80d7-df0f9f25667e,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AP Southeast,A8 VM (Windows),None,Hours
2013-12-01T00:00:00Z,0,Cloud Services,9ee077eb-c902-46ef-b7f9-2caeade852e0,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US North Central,A6 Cloud Services,None,Hours
2013-11-01T00:00:00Z,0,Virtual Machines,8609a286-12c1-47b1-a299-e30cd9ba01d1,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AP Southeast,A0 VM,None,Hours
2015-10-01T00:00:00Z,0,Cloud Services,58231248-9370-44ce-9d83-9a99ad12b7d1,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,AP Southeast,Standard_D13 Cloud Services,None,Hours
2015-09-01T00:00:00Z,0,Virtual Machines,18a6dff8-cf18-48bc-a49d-a5a5fa941e02,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,A11 VM,None,Hours
2014-10-01T00:00:00Z,0,Virtual Machines,1add41b7-a2d1-48a0-a6b0-57e84c2634b0,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,US Central,A11 VM (Windows),None,Hours
2014-12-01T00:00:00Z,0,Virtual Machines,146f3877-a621-4b5a-80bb-ecc2279ae2ff,Compute Hours,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EU West,A3 VM (Windows),None,Hours
2014-08-01T00:00:00Z,3072,Networking,a62d6e13-257b-4eb2-bbd3-4c94bd6b221d,Data Transfer Out at 200 Mbps (GB),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Zone 1,ExpressRoute (IXP),None,GB
